Nome,Sobrenome,Data de Nascimento,Cidade de Nascimento,Nome do Pai,Nome da Mãe
Annibale,Moura,1954-10-16,辽阳,兵 Leonard,Denise Baresi
Timothy,Marinetti,1971-02-10,Hamburg,Enzio 孔,红梅 Malatesta
Sabina,Cavalcanti,1990-02-21,Nabburg,Rigo Balbi,Kathleen Norris
Allen,Etzold,1986-01-26,Heinsberg,Bartholomäus Ortmann,Danielle 曹
Tracey,Wähner,1986-06-15,银川,Thiago 罗,丽 陈
Lamberto,Lozano,2003-11-03,海门,Jozef Aragão,Juliana Pineda
Marcos Vinicius,Lopez,1950-07-12,Cottbus,Michael 杨,Serafina Goldoni
Amber,Hernandez,1980-12-16,Angermünde,Cauã 冯,Amy Traversa
英,Jockel,1995-10-27,Uffenheim,Yusuf Durham,Julia Campbell
红梅,Perez,2000-11-03,天津,Derek Lee,Angela Berger
Rena,吴,1992-02-26,Reutlingen,Diogo Wirth,Nichole Adolph
Jason,Reising,1974-02-10,六安,Luiz Miguel 欧,Rebecca da Conceição
Bárbara,凌,1942-10-02,梧州,Carl Brown,萍 Ziegert
Valentina,Kerr,2002-12-21,汕尾,Brian 薛,Helena 董
Nicolò,Morucci,2000-07-21,呼和浩特,Damon Gasperi,Ana Laura King
João Felipe,Riccardi,1984-02-23,重庆,Benjamin 郑,Leokadia Hövel
Ignazio,Mangold,1944-03-26,六安,佳 Ellison,Isabelle Aumann
Erin,王,1973-08-11,石家庄,Kevin Cunha,Ann 康
Samuel,da Costa,1981-07-20,Bad Liebenwerda,Edwin Farias,Megan 孙
Enno,Dias,1972-05-16,合肥,Connor 赵,Fernanda Fernandez
Shannon,da Costa,1963-09-05,兴安盟,博 Trapp,Kimberly Tirabassi
Luana,Erickson,1973-11-03,Flöha,Nathan Cesarotti,Meagan Ziani
Igor,Novaes,1998-10-25,Gotha,David Odescalchi,Eva-Maria da Rocha
Doreen,Barros,1945-02-13,济南,Alberico Haase,Concetta 王
Nicholas,Schenk,1942-09-25,Grevesmühlen,Jose da Conceição,Aleksandra Hellwig
晨,Lima,1982-07-28,沈阳,Raymond 孟,Jennifer 李
Dietlinde,Iannotti,1972-10-04,Lörrach,Stanislav Bell,Centa Davis
Ana Carolina,Johnson,1985-05-26,长春,Bruno Farley,Karen Fermi
Henrique,马,1964-12-13,兴安盟,James Waller,Claire 吕
Concetta,Cain,1963-04-03,Emmendingen,Johnny 张,Giovanna Wade
玉梅,Pisani,1992-11-13,乌鲁木齐,Miroslaw Lopes,Catarina Anders
Fedele,Romero,2004-12-13,通辽,Russell Stevens,Carla Ritter
Fausto,Rudolph,1988-11-11,梧州,Andrew Girschner,Tammy Brooks
Michael,Villanueva,1954-05-15,广州,Lorenzo Martin,梅 Rocha
Jason,Tacchini,1996-11-02,西宁,Jonathan 翟,Catherine 范
Eduardo,Rivera,1957-06-12,Viersen,Benno Smith,Victoria 周
Carin,da Luz,1969-05-28,昆明,Piersanti Huffman,Emily Mason
Dionigi,曹,1999-07-13,澳门,帅 Bailey,Stephanie Preiß
Nina,Cimini,1957-04-06,潜江,Kevin Cooper,Hella Moore
Hans-Herbert,Bennett,1977-03-13,Altötting,Lazzaro 李,Antonietta Draghi
Valerie,黄,1953-02-07,济南,Gabriele Mcdonald,Jessica Hayden
Claire,Martins,2004-07-20,Zschopau,Vicente Roberts,Aurora Spencer
Sophia,Dyer,1955-04-23,Wittenberg,João Felipe Davids,Sheila Nitti
Antônio,Jesus,1987-03-27,潜江,Nikolaus Ribeiro,Juliana Acevedo
James,Peters,1965-09-18,马鞍山,Thorsten Mosley,Júlia 张
欢,王,1975-11-11,Miesbach,Glenn Bonolis,Alina Borromini
Emanuelly,黄,1961-08-03,长沙,阳 Rosenow,Sherri Trebbi
Rosaria,Gonzalez,2004-12-08,Schongau,Brandon Federico,Tammy Cutrufo
Laura,Ceschi,1972-07-06,福州,Curtis Campbell,Genoveva 陈
Stephanie,Döring,1995-11-09,Schwabmünchen,Aleksandar Hornich,Camilla Schwital
Virgilio,Hernandez,1990-03-20,马鞍山,Gerald Beccheria,Natasha Barton
Gregory,覃,1963-02-04,长春,Luiz Miguel Hernandez,桂珍 Monteiro
Giosuè,Tomaselli,1991-01-29,Neustrelitz,Mirko Mendes,Ana Clara Cianciolo
Madison,Wilson,1973-03-30,永安,Christopher Vismara,Julia 郭
Carolyn,Harrell,1954-10-17,Bischofswerda,Joaquim 刘,Colleen Peterson
Daniel,Hull,1967-04-21,石家庄,Theo Young,晶 Antonucci
勇,Bell,1945-05-19,兴城,平 Thomas,Amy Lima
Gastone,Ernst,1952-09-25,Biedenkopf,Jorge Sanudo,Laura Wilms
Giampaolo,Gianinazzi,1944-12-24,Ebern,João Gabriel Araújo,Katrina Magnani
Roberta,苏,1954-10-30,Rottweil,Scott da Paz,Heather 廖
洋,Giorgetti,1960-05-04,Gotha,Lorenzo Oliveira,Giesela Anderson
Sheila,da Mata,1948-06-10,深圳,Luiz Otávio Lima,Ashley Kaul
Gioffre,Freeman,1977-02-17,Hohenstein-Ernstthal,Rouven 冯,Lili Miller
Johanna,Pizzo,1999-01-08,兴城,宇 Bocelli,Mirjam Duarte
Catherine,Storladi,1982-06-20,银川,Pierpaolo Barbosa,Michela Benthin
Siegward,Ostinelli,1973-05-19,Eichstätt,Francesco Beyer,Kathleen Rich
Meral,Briemer,1971-05-30,Reutlingen,Yuri Curtis,Lorena Harris
淑英,Richardson,1957-10-19,澳门,Luiz Fernando Budig,Sylvia Kent
Raphael,Wieloch,1976-03-13,Flöha,Ekkehard 邢,Swantje Miller
Melissa,Nadi,1959-11-01,西安,Ada 陈,Teresa Richardson
Anton,Stumpf,1998-11-01,哈尔滨,Beppe Spinola,Fernanda 金
Heather,da Luz,1977-11-25,Grimma,Maik Buscetta,Senta Mälzer
Sylwia,Meyer,1971-09-19,Schwarzenberg,Marcelo 王,Maitê Faranda
Damiano,Kusch,1947-03-24,Emmendingen,Heiner 陈,萍 Douglas
Clelia,Wright,1944-12-24,兴城,建华 Wähner,Lolita Bolzmann
Patricia,Rezende,1956-12-03,长春,Marcos Vinicius Clayton,Sonia Costa
Ernst-Dieter,Jäkel,1955-10-27,Angermünde,Brandon King,Luka Rivera
桂兰,Gregorio,1949-07-31,Donaueschingen,Levi Granatelli,Insa Hayes
Camila,Bailey,1945-11-24,Gerolzhofen,David Henck,Lindsay Liu
Michael,Beltran,1974-06-09,张家港,刚 Correia,Elvira Barros
Sergius,Asprucci,1994-01-03,福州,Arnulfo Barbosa,英 Anderson
Anselm,Murphy,1950-01-10,Tirschenreuth,Ross 叶,Kristen Williams
Scott,Hartmann,1962-12-23,Burglengenfeld,磊 Holsten,Cecília Castaneda
Jade,苏,1959-07-22,银川,林 张,淑珍 Moraes
凤兰,Williams,1977-02-21,Eutin,Giuseppe Navarro,Katie Finke
慧,姜,1989-09-03,澳门,Gianni Pratesi,Caroline Renner
Lorenzo,吴,1989-08-23,梧州,瑞 Pezzali,Angela Ioppi
斌,邱,1955-03-16,Gunzenhausen,Nikolaos 樊,Amanda Pearson
Maria Fernanda,Garcia,1950-12-17,昆明,Erick Tebaldi,Ester Siering
Walburga,Geißler,1997-01-16,Fürstenfeldbruck,Gastone Russell,Lea Duarte
Steven,Lippomano,1962-03-02,潮州,利 Priuli,Clelia Moore
Mary,Riccardi,1999-12-11,台北,Jeffrey Farias,Patricia Heinrich
建,刘,1992-03-09,Wernigerode,Karl-Werner 孙,Irma Williams
Benvenuto,叶,1946-08-26,Mettmann,Curt Cox,Stacey 陈
Mirko,潘,1976-09-21,通辽,Mitchell Romagnoli,Agatha Farias
Carolina,Silva,1985-09-04,Erkelenz,Brandon Campbell,Maria Eduarda Tomei
Giampiero,郑,1968-05-09,阜新,斌 Collins,欣 Drake
Kathy,da Luz,1947-02-28,关岭,建国 Parini,Natalia Johnson
Maria Alice,Lindau,2004-11-15,Neustrelitz,想 Nguyen,Milena Long
Suse,Gemito,1969-01-27,Flöha,Marcello 张,Lidia Araújo
Sean,朱,1997-07-10,Sankt Goar,Kevin Jesus,Jennifer Moraes
Chloe,Dougherty,1967-02-05,Guben,Rosario Taylor,Erin Cox
丽华,Bruder,1989-04-21,荆门,杨 张,Mina Holmes
Umberto,Jovinelli,1986-08-13,Iserlohn,Yago Conrad,颖 Buchanan
Ricky,Lindau,1996-10-29,永安,Felipe 金,Casey 韩
Andrea,Spears,1972-02-13,Soest,Ryan Smith,Greca Richmond
婷婷,荆,1945-03-14,马鞍山,Davi Luiz Cooper,Elena Camilleri
Cecília,Gadda,1998-03-18,宜都,Alfredo Fogaça,Susan Little
Dale,Nichols,1987-01-14,海口,Joaquim Buck,Jenny Cavalcanti
Slawomir,Tacchini,1996-08-05,潜江,Jeffrey 曹,Joana Sismondi
Jimmy,杜,1966-04-07,荆门,Franz-Xaver Lopez,Paloma Buonauro
萍,Adams,1942-05-15,Weißenfels,Claudio 余,Ninetta Barbosa
Evan,孙,1994-04-03,Arnstadt,Jeffrey Aragão,Filippa Ladeck
Chris,Kelly,1993-12-06,Sebnitz,Henrique Stiebitz,Kimberly Roberts
Hans-Walter,Araújo,1996-11-26,宁德,Darren Koch,Holly Chan
Yago,da Cruz,1972-04-30,太原,Leonardo Sontag,Loredana 沈
Carolyn,Dyer,1990-01-16,Seelow,Brian Cain,Shannon 吴
彬,Ray,1964-04-09,惠州,Patrick Bertoli,Michelle Rodriguez
William,Budig,1991-12-14,深圳,Toni Farias,Bianca Eberhardt
Jennifer,Bondumier,1986-01-06,银川,Douglas Padilla,Mary Gibson
Lavínia,Duarte,1984-05-14,兰州,João Felipe Jesus,晶 Mason
Mindy,Wyatt,1999-04-10,Badibling,波 Ortiz,Beatriz da Cunha
Nicole,杨,2000-12-05,Hagenow,Matthew Castelli,Gabrielly Ring
Ian,Alfieri,1947-12-19,Büsingen am Hochrhein,Pasquale Bolander,Marissa Lopes
Benjamin,Murray,1954-12-20,长春,杰 张,Mariana Dippel
Judy,Bragaglia,1956-08-27,Grimmen,James Turrini,兰英 Bowman
Gilbert,Treccani,1987-08-29,Lübben,Luiz Henrique Stephens,Natália Bonino
Terri,Powell,1990-01-26,Strausberg,Derek da Cruz,Milena Barbosa
James,Franco,1958-05-19,乌鲁木齐,Gian 朱,Jacqueline da Rosa
Pierre,Cavalcanti,1976-04-20,Soltau,Matthew Schäfer,Traci Scheuermann
云,Watts,1950-12-12,东莞,Cirillo da Conceição,Emilly Pinto
Ana Lívia,Green,1974-08-09,马鞍山,军 Beier,Andrea Santos
Milena,Forbes,2001-10-31,太原,James Hawkins,Lisa Tassoni
Ignazio,Ramos,2000-11-16,Uffenheim,Mariano 王,Christine 彭
畅,Venturi,1956-02-02,Bremen,Michael Pratesi,Hannah Rodrigues
Ekrem,Schmitt,1993-03-23,Mühldorf am Inn,Jeffrey Lopez,Kayla Schinke
Ashley,Mercalli,1967-07-22,武汉,Danny Saraceno,Michelle Ullrich
Clarissa,Patel,1979-03-14,深圳,Brian 张,Anna Goodwin
平,Silveira,1987-10-31,Calau,Maurizio da Mota,Karolin Matthäi
Matthew,Alves,1990-04-20,Artern,Jesse Säuberlich,霞 Atkinson
秀英,Buscetta,1996-05-17,合山,Franz-Peter Long,Asta Castro
John,柳,1977-09-08,Witzenhausen,Yuri 张,Giovanna 丰
Anatoli,田,1991-09-17,北京,晨 Borrani,Maria Sophia Brock
Tullio,Müller,1954-02-18,Hannover,Corey Scott,丽娟 Heinz
Jennifer,欧,1965-09-29,宁德,Jeffrey Jacob,Vanessa Moore
Martha,Garcia,1946-12-23,Werdau,Johann King,Melissa Nascimento
Jennifer,Henk,1988-10-18,沈阳,Heitor Almeida,Misty Hughes
Alessandro,Squarcione,1954-09-05,长沙,Matthew Bates,Felicia Ortiz
Emma,Mccoy,1949-08-03,兰州,Rafael Contarini,Sabrina Alighieri
Diana,Christoph,1985-06-24,Rothenburg ob der Tauber,Raul Cochran,Sole Krein
Mariana,Sanchez,1944-08-25,淮安,Lucca Ramos,Charlotte Correia
Mike,Adams,1968-12-18,Lüneburg,Adriano Medina,芳 Strangio
Leandro,Hill,1968-10-21,Melle,Torquato Rose,Lavínia Campbell
凤英,Verdone,1990-10-13,沈阳,岩 Samele,Dominique Schweitzer
Edgar,Franco,1977-03-21,Neubrandenburg,Silvestro Tschentscher,Vanessa Cavalcanti
利,Rivera,2001-08-09,Mellrichstadt,Luiz Miguel 张,云 Gutknecht
Ana Clara,Alves,1967-11-16,Gardelegen,Luiz Felipe Peixoto,Leonie 傅
Federica,Schroeder,1952-08-30,石家庄,John Gay,Kathryn 刘
Antonietta,Ribeiro,1993-04-02,潮州,Robert Fogaça,Katherine Löwer
Santino,Melo,1979-02-13,兰州,Ray Kallert,海燕 Stey
Chiara,Hermann,1961-03-23,南昌,兵 Hellwig,Carolina Hoffman
军,Parri,1988-06-23,Finsterwalde,Donald Evans,欣 Bosurgi
Serena,Thomas,1986-06-04,Burg,Jonas da Cunha,秀荣 Huhn
桂芳,Häring,1962-01-12,澳门,Tomasz Rodrigues,Beth 邓
Anthony,Fabbri,2000-02-05,兰州,Charles Henschel,Caroline Torlonia
Erick,Misicher,1976-11-24,Kemnath,Geronimo Henson,Marion Oliveira
Filippo,Stephens,1953-06-02,Burg,Richard Tintzmann,Bárbara 叶
阳,Grassi,1985-12-13,东莞,Hinrich Tran,Ramona Collina
Thiago,Mangold,2005-02-05,Hildburghausen,Chad Roy,Elzbieta Freeman
晨,鲁,1961-07-28,Kötzting,建华 Nitto,颖 da Conceição
Maria,高,1964-10-04,Lüdenscheid,勇 Nunez,Serena Stadelmann
楠,da Paz,2003-02-06,Calau,Reinhart Brown,Rachel da Costa
Luiz Felipe,Franzese,1979-01-13,Hainichen,Jeffrey Kobelt,Maike 张
Franca,冉,1949-01-02,Helmstedt,Marco Nogueira,Alisha 乔
Rocco,Albers,1948-04-07,Wolfratshausen,建国 Vieira,Ana Schacht
飞,裘,2004-09-24,西安,Dennis Palumbo,Isabella Watts
颖,Zorbach,1999-08-30,Grimmen,Adrian 金,Aurora Davis
Sofia,Nogueira,1991-05-21,Lübben,Mohammed Fliegner,Julie Blake
静,Letta,1963-12-07,澳门,Caio Gnatz,Ana Lívia Li
莹,Nicholson,1975-01-05,Ebern,Mathias Johnson,Sonya Brown
晶,Giradello,1965-10-01,Borna,Mark Floyd,Joan Simon
凤英,da Cruz,1996-11-08,武汉,Nathan 杨,Livia Solis
婷,Butler,1966-09-03,拉萨,Martin Cortez,Nina Sokolov
Dietlinde,Werner,1962-05-15,Hohenstein-Ernstthal,Nicholas Cox,Jennifer da Conceição
Colleen,da Cruz,1965-07-20,西安,Charles Ortese,桂香 Maxwell
Christopher,Vitturi,1999-02-07,南宁,William Bulzoni,Zdenka Azevedo
Marie-Luise,朱,1994-10-29,宁德,Christopher Vespucci,Dana 黄
Vito,Dias,1981-03-05,Brilon,Jeffery Almeida,Veronica 张
Martina,张,1997-06-16,Mettmann,成 Stey,Ana Vitória Mcconnell
Ashley,Hofmann,1982-09-28,武汉,宁 Bell,Mariana Trobbiani
晶,Pedroni,1949-12-13,天津,Brandon Ramos,Etta 谭
Nicola,Martins,1980-06-17,柳州,帅 Alves,玉 Sager
Joshua,Fernandez,1955-06-10,武汉,Dale Lane,Hannelore Nette
Luiz Miguel,陈,1995-01-06,东莞,Hanspeter Bianchini,Luise Radisch
Wanda,Costela,1952-09-08,Goslar,Calebe Salz,Lidija Montanariello
Alberico,Richard,1992-02-01,汕尾,Alexandre Campbell,Christina Robertson
Ilaria,Martinez,2004-03-07,成都,Christian Perez,娜 任
Christina,Redi,1968-03-25,Emmendingen,Federigo Lima,Lisa Johnson
Gabriela,Junk,1963-09-11,合山,Karl-Jürgen Ullrich,Greca Aumann
Daniela,Cardoso,2003-12-31,Erkelenz,Rafael Majorana,Isabella Ryan
Annalisa,da Luz,1989-01-26,Zossen,Heitor Martin,秀英 Gunpf
Winfried,Nogueira,1942-09-06,Badibling,Eberhardt Haering,Maria Luiza Sharp
Antonietta,Nichols,1947-10-09,北京,Cameron Proctor,Emanuella Ernst
Matheus,Cipolla,1951-06-20,上海,Marcantonio Alves,Kelli Tedesco
Vesna,Craig,1960-01-19,Konstanz,Paulo Morton,Letícia Hancock
Christopher,Rinaldi,1942-11-25,Euskirchen,Nicholas Alves,Alejandra Giannotti
Erin,Davila,1994-12-24,哈尔滨,Andres Shields,Heloísa 刘
Ronald,Kelly,2002-02-20,Scheinfeld,Joe Käster,Katelyn 刘
John,檀,1962-06-04,关岭,Murilo Rodriguez,秀英 Gioberti
Melissa,Fowler,1951-10-10,Wunsiedel,Guido 黄,Frauke Grein Groth
Erika,Karge,1960-12-29,Sebnitz,Jonathan Baggio,Editha Pieper
秀梅,谷,1993-03-29,Worbis,Andrey Viana,芳 Lopes
雪,Craig,1951-05-31,六安,Heitor Reinhardt,Stephanie Fröhlich
Tiziano,Rodrigues,1986-09-23,深圳,Camillo Sales,玉英 Cox
Eduardo,Moran,1960-04-23,广州,Christopher Iacovelli,冬梅 Gaito
Christopher,Richardson,2000-08-01,梧州,华 James,Alicia 王
Bryan,Lane,1949-12-08,Forchheim,Matteo Wilson,Ana Sophia Green
Cauã,Costa,1968-10-27,合山,Ignazio Staude,Ana Sophia Costa
桂英,Smith,1966-01-31,武汉,Utz Chavez,Lavínia Miller
桂英,Fischetti,1959-09-10,Kelheim,Thales George,Jennifer da Paz
Franco,Ayers,1986-09-09,Weißwasser,Ilias Martins,玉梅 Cardano
杰,Wood,2004-09-14,武汉,Sabatino Santos,Amanda Douglas
华,Thompson,1998-02-10,重庆,Alejandro Kabus,娜 Scholl
Enzo Gabriel,Castro,2002-11-25,兰州,Ronaldo Hamilton,Luna Patel
Eileen,Serraglio,2002-11-19,Calau,Hartmut Myers,Evelyn Weinhold
Concetta,Bolander,1969-04-20,Burgdorf,Austin 应,秀梅 杨
Pietro,Webster,1962-04-16,Bamberg,Alessio Taylor,Caroline Wulf
Dolores,Malone,2004-06-05,Siegen,Jason Mangold,Annika Koch
Daniel,Sermonti,1950-06-27,Goslar,Timm Schweitzer,Angelica Patel
Rolf-Peter,Monaco,1957-12-26,Gardelegen,Toni 戚,Sherry 李
Pamela,Tucker,1943-05-31,天津,Arthur da Cunha,Erica Carrillo
Hans-Dietrich,郑,1955-01-20,兰州,Chris Rodrigues,Anne Accardo
Carsten,Otto,1973-05-15,西安,Jürgen Gardner,Nicole Gude
Patricia,Gangemi,1957-05-25,成都,Karl-Ludwig Clark,Margaret Rosales
Vickie,Pedersoli,1981-04-12,Mittweida,Kemal Waters,Jennifer Bennett
Gabriel,Ward,1944-12-12,西安,William Bennett,Marcela Klemt
Yasmin,Parks,1959-09-08,Nabburg,健 Oliveira,Lavínia 郑
岩,Forbes,1984-12-25,嘉禾,Puccio Mälzer,秀华 Melo
Ilaria,Chinnici,1964-10-06,西安,Cauã Hicks,Antonia Araújo
建平,Richards,1961-03-06,Torgau,Matthew Young,Bruna Pires
Frederike,Lawrence,1944-05-03,Beilngries,Marcelo Pereira,Laura Schneider
Ana Laura,Durham,1962-11-23,长沙,Horst-Peter Ford,Antonie Taylor
Johann,谢,1998-08-31,潮州,Vincentio Watts,Imelda Eckbauer
柳,Errani,1949-08-06,Freital,Luiz Fernando Snyder,雪 Ford
Fernanda,Losekann,1975-01-22,Naila,Gabor 张,Maysa Ferreira
Alex,Guarana,1969-09-12,南宁,Piermaria Daniel,兰英 Bonbach
Isabella,Moura,1970-07-27,乌鲁木齐,勇 Nohlmans,Antonina Ramos
Catarina,石,1964-01-28,Griesbach Rottal,Ubaldo 邱,Maria Fernanda Duarte
柳,Costela,1974-07-12,张家港,兵 Martins,Lisa Golgi
Jonathan,da Mota,1989-12-25,Bremen,志强 Scarpa,Lara Brenna
Isabella,Drake,1972-01-03,Kusel,Mesut Hayes,Caroline 卢
Gerald,苏,1955-12-17,六盘水,Giosuè 鞠,Mirella Vieira
Gabriela,Duarte,1990-07-17,Gerolzhofen,Ryan Salvemini,Kim Giannetti
志强,da Luz,1983-08-10,辛集,João Lucas Loredan,丽华 Hölzenbecher
Veronica,Pineda,1981-04-18,六盘水,Adriano 雷,桂芳 Souza
Marie-Louise,da Luz,1972-09-19,宁德,Vinicius 陈,Amanda 吕
Maysa,吴,1959-04-06,Mallersdorf,Randall Heydrich,Letícia Ribeiro
Milo,Parisi,1961-12-11,上海,雷 Pergande,Alyssa Sanders
琴,吕,1954-02-05,Parsberg,Lucca Carullo,Rita Inzaghi
Bruno,Hornich,1996-01-25,Tuttlingen,Luis Fernandes,Maria 王
Costanzo,Schottin,2002-07-02,Bamberg,Randy da Luz,Rachel Carvalho
Paola,Schiavo,1959-01-22,Eisleben,Guarino Norton,Bianca Morrison
Alfredo,Murray,1963-09-06,乌鲁木齐,Lorenzo Pereira,Iolanda Snyder
Aribert,Fuseli,1949-01-11,汕尾,Bryan Geisler,Teresa Gutierrez
Francesca,Pasqua,1946-11-06,Brandenburg,Kenan Hayes,Giuliana 杨
Sharon,毛,1990-02-23,南昌,博 da Cunha,瑜 Stone
Gino,Brown,1988-02-10,台北,Robert Franco,Sharon Roht
Nathan,李,1984-11-10,Pirmasens,Fabrizio Rodriguez,Beatrice Weller
Stefania,da Luz,2003-03-28,太原,Heino Navarro,Tonya Ramos
Theda,童,1971-12-03,Paderborn,Armando Wilms,Victoria Zacchia
Diana,Lachmann,1942-07-08,台北,Günther Blair,丹 刘
Frederic,Shepard,1958-11-08,Wittmund,Brett Jones,秀华 冯
Iwona,Malipiero,1968-07-25,昆明,Giorgio Weiß,Meredith Grossi
Jessica,King,1980-01-31,Döbeln,东 Canil,秀梅 Anders
Darryl,袁,1985-03-07,Steinfurt,Juan Mcgee,Sarah Nogueira
James,Teixeira,1987-12-26,辽阳,Gioffre Täsche,Natália Hobbs
Julie,Scalera,1950-06-28,合肥,旭 Knight,Olivia 王
Daniele,Knox,1951-09-06,惠州,David Scheibe,Angela Wilson
Goffredo,Bombieri,1984-02-29,Staßfurt,Klaus 曾,Angelique Thomas
Georg,Binner,2003-04-29,昆明,岩 Thomas,Melissa Hofmann
杨,罗,1995-07-27,台北,Eric Aragão,Mariana Henry
Judy,Mccoy,1968-05-18,Mellrichstadt,Wieslaw 许,Maria Fernanda Kirby
佳,Matthews,2005-03-28,Zeulenroda,Jerry 俞,Isadora Greene
Gerlind,Henderson,1961-04-01,天津,Jaime Duarte,Marlis Gröttner
Christian,Bass,2002-04-14,Bad Mergentheim,Moritz Jungfer,Beatrice Hayden
Nancy,吴,1965-11-06,Wetzlar,Meinrad Owens,Maria Sophia 刘
杰,Kade,1979-06-22,南昌,伟 李,Natália 姚
Jeremy,Cremonesi,1975-03-09,哈尔滨,Edward Cutuli,淑英 Townsend
琴,das Neves,1953-07-24,Nordhausen,Ivan Moore,Tabitha 莫
Manuel,陈,1943-02-10,潮州,Fatih 田,Nicole Moraes
Alban,Pereira,1962-04-13,Kronach,Randall Barbosa,Esther 袁
坤,许,1964-03-13,Cloppenburg,Mark Simon,Samantha 樊
Maria Clara,Scalfaro,1993-11-29,海门,Michael Cavalcanti,凤英 Moreira
斌,Green,1987-04-13,Lübz,Enzo Gabriel da Costa,Jane Fantini
Maria Vitória,Roberts,1971-01-20,Jülich,Alexandre Kostolzin,玉梅 Mans
Pier,Boccioni,1976-03-06,Warendorf,Mirko Cantrell,Angela Pozzecco
Jörgen,Reuter,1973-11-19,Wunsiedel,Bradley Silveira,娜 朱
Heiner,Moura,2002-09-24,大冶,晨 Aumann,Mira 张
Michael,Crisafulli,1955-11-25,武汉,Gregory Stoll,Lauren Gordon
Lazzaro,白,1971-06-30,太原,Juan Mcintosh,Stacy Caldeira
Rosa-Maria,张,1951-12-25,Lüneburg,Nurettin das Neves,Marina Säuberlich
Dionigi,周,2002-04-19,福州,Lamberto Bolzmann,Mary Monteiro
Lidia,Dalla,1961-03-30,荆门,建军 Marshall,Tina da Cunha
Frederike,Lopes,1997-03-29,济南,兵 Beier,Samantha Chen
Thea,Smith,1960-08-18,Marienberg,Nicholas Rios,Cornelia Araújo
帆,Sims,1993-10-12,Stadtsteinach,Troy Hall,Letizia Farias
Lisa,Lübs,1956-05-25,北京,Giancarlo Vieira,Dina Luciani
彬,Raimondi,1971-02-02,Peine,Pedro Henrique King,Priscilla 熊
Melissa,Ramirez,1950-03-27,武汉,Bernardo Pärtzelt,璐 Pereira
Justin,Hande,1979-11-01,郑州,龙 Martins,Adriana Basadonna
Mina,Sgarbi,2002-04-12,哈尔滨,旭 Powell,Paulina 林
Giampiero,Martins,1956-01-24,Duderstadt,Timothy Snyder,静 Alves
Freya,Gröttner,1994-10-08,Lüneburg,Franz-Josef Tintzmann,Licia Wilson
Maxim,Andreotti,1987-02-23,张家港,Luiz Miguel 柯,Ana Julia Bishop
John,Simon,1944-10-09,Einbeck,Raffaele Pagliaro,Sonia Avery
坤,Nunes,1981-10-06,Rochlitz,健 Girschner,Laura 陈
Miranda,Simpson,1975-11-09,Dachau,Benjamin Gude,Jacqueline Bailey
João Felipe,詹,2003-01-21,Dresden,Gianfranco 钱,Brenda 张
丽娟,Bailey,1998-02-04,Badibling,Bryan Ruppersberger,Megan 赵
Dirk,Moon,1980-02-17,Luckau,Giampiero Velasquez,Gundula Sherman
Elisa,Sauer,2002-07-01,Schleiz,Adam Campos,倩 郎
Lisa,Jones,1945-01-18,佛山,Walter Moyer,春梅 Jüttner
建军,Dias,1959-09-02,Schwäbisch Gmünd,Cipriano Fogaça,Antonella Schuster
Amy,Barber,1985-01-28,香港,Maurizio 朱,Etta Gonçalves
Gudula,Kraushaar,1988-06-24,Feuchtwangen,Raffaello Murialdo,Yasmin Holmes
Tracy,Cardoso,1982-09-22,Wanzleben,Davi Luiz Lynch,丹丹 Castiglione
Luigina,Rocha,1993-09-08,潮州,Willibald Lopez,Catherine Nogueira
Kazim,Lopes,1951-08-26,台北,Bartolomeo Guarato,Stefania Blümel
Emanuelly,Caffarelli,1957-08-08,哈尔滨,Henrik 曹,淑英 Ryan
Giacomo,Mcmahon,1944-12-31,齐齐哈尔,Randy Fischer,Laís Wagner
Dittmar,Souza,1993-07-04,齐齐哈尔,Davi Viana,Luiza Favata
Troy,Pereira,1946-07-05,长沙,雷 Iannelli,Mary Moran
Torben,Cardoso,1954-02-27,Mayen,Giulio Hammond,敏 李
Albina,刘,1974-07-03,Nordhausen,Vitor Hugo Trentin,Alexandra da Rosa
Richard,Bishop,1978-08-28,合山,Ronald Schacht,Maria Robertson
Elisa,Ferguson,1960-02-20,Pößneck,瑞 Clark,Luana Carroll
Sophia,Briccialdi,1999-03-01,合山,Anthony Rodrigues,Emily 夏
Amber,李,1961-11-16,上海,Daniel Giorgetti,桂珍 Gallagher
Lee,Henry,1950-12-17,Augsburg,Nathan Schinke,Marina Jones
Helena,Vismara,1962-10-29,太原,想 Moreira,Sarah Lee
博,Jones,1943-11-10,阜新,峰 Renzi,Dorothee Bosurgi
Frederick,da Luz,1994-05-14,Ebersberg,Nicholas 蔡,Kimberly Farrell
Christian,Vieira,1986-07-11,Magdeburg,Cengiz Rezende,Robin Ferraris
军,Martin,1969-02-23,梧州,Frank Flores,Irina Caldeira
João Gabriel,Paltrinieri,1960-05-09,Borken,Gioacchino Erickson,Liana Williams
婷婷,Cobb,1971-10-11,Quedlinburg,David Ramos,Sylke 谭
Pellegrino,Fogaça,1973-04-16,Kemnath,Alphons Pereira,Nina 吴
浩,Cardoso,1943-09-25,Kötzting,亮 张,桂芝 Nelson
峰,Alvarez,1978-01-25,澳门,Joseph 罗,Ines Riccardi
Robert,王,1998-03-22,Einbeck,John Kabus,Kelly Nguyen
Maria,邢,1953-03-18,潜江,David Boyd,Paloma Davis
